epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7206,3.86541,7.19948,1.86769,0,0,0,0,2.91046,5.97997,1.22607,0.00032,0.00032,0.00032
2,133.279,3.29118,5.57287,1.35621,0,0,0,0,2.66322,5.58396,1.22625,0.000617825,0.000617825,0.000617825
3,213.763,2.97947,4.79734,1.26336,0.0029,0.0999,0.02123,0.00933,2.76949,4.82385,1.26235,0.00088298,0.00088298,0.00088298
4,283.332,2.77113,4.14756,1.18701,0.28494,0.09403,0.0972,0.04597,2.35459,3.70149,1.11061,0.0008515,0.0008515,0.0008515
5,355.833,2.6761,3.74454,1.16089,0.30058,0.14519,0.13806,0.05624,2.27356,3.09952,1.07252,0.000802,0.000802,0.000802
6,425.643,2.59111,3.44345,1.15014,0.2557,0.18521,0.16999,0.07177,2.16394,2.77067,1.04981,0.0007525,0.0007525,0.0007525
7,496.681,2.49014,3.22062,1.10498,0.44293,0.23667,0.21811,0.08779,2.16987,2.48768,1.05737,0.000703,0.000703,0.000703
8,568.75,2.47652,3.08859,1.11123,0.42712,0.28762,0.25175,0.08724,2.31623,2.39347,1.10694,0.0006535,0.0006535,0.0006535
9,644.707,2.39796,2.93916,1.10567,0.41122,0.36679,0.33507,0.13566,2.08691,2.26314,1.02705,0.000604,0.000604,0.000604
10,718.135,2.36563,2.7422,1.07591,0.52415,0.46969,0.47834,0.21023,1.95698,2.11433,1.00029,0.0005545,0.0005545,0.0005545
11,778.633,2.06088,2.51938,1.07742,0.57093,0.50875,0.50768,0.22132,1.96314,2.07003,0.99739,0.000505,0.000505,0.000505
12,843.949,1.99899,2.28977,1.06191,0.58035,0.50263,0.52385,0.23431,1.896,2.00548,0.97687,0.0004555,0.0004555,0.0004555
13,902.387,1.953,2.16921,1.06095,0.70941,0.52613,0.57714,0.26607,1.88215,1.96659,0.96881,0.000406,0.000406,0.000406
14,960.147,1.94459,2.10143,1.05053,0.6208,0.56065,0.58733,0.26674,1.86379,1.8626,0.97134,0.0003565,0.0003565,0.0003565
15,1013.95,1.90126,2.01089,1.03248,0.70588,0.56263,0.62796,0.29561,1.81465,1.76745,0.96663,0.000307,0.000307,0.000307
16,1068.81,1.86963,1.96452,1.02616,0.69979,0.60192,0.63701,0.30341,1.79927,1.70383,0.96099,0.0002575,0.0002575,0.0002575
17,1120.16,1.90881,1.93488,1.04141,0.72944,0.60134,0.66096,0.30978,1.80607,1.63577,0.96185,0.000208,0.000208,0.000208
18,1173.84,1.8612,1.83591,1.02554,0.78685,0.57697,0.67167,0.31179,1.7942,1.64106,0.96074,0.0001585,0.0001585,0.0001585
19,1225.45,1.83504,1.80711,1.02343,0.74419,0.63318,0.68765,0.31411,1.82617,1.61776,0.9655,0.000109,0.000109,0.000109
20,1279.85,1.81421,1.78685,1.00233,0.75314,0.64809,0.69734,0.32897,1.77623,1.57881,0.95295,5.95e-05,5.95e-05,5.95e-05
