epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1022,3.59093,7.81825,1.61117,0,0,0,0,2.74582,5.81915,1.18474,0.00032,0.00032,0.00032
2,96.567,3.02087,5.57451,1.20334,0,0,0,0,2.70455,5.55731,1.15531,0.000617825,0.000617825,0.000617825
3,152.026,2.79319,4.6785,1.13122,0.00826,0.30498,0.04029,0.01618,2.43932,5.46503,1.11115,0.00088298,0.00088298,0.00088298
4,207.112,2.52805,3.77187,1.07747,0.23834,0.2476,0.18069,0.06331,2.48427,3.93575,1.10509,0.0008515,0.0008515,0.0008515
5,266.383,2.53498,3.4789,1.04684,0.34104,0.27009,0.23183,0.07676,2.48677,3.43102,1.11338,0.000802,0.000802,0.000802
6,331.688,2.36393,3.08049,1.00301,0.36822,0.32604,0.30068,0.12818,2.03254,2.61064,1.01634,0.0007525,0.0007525,0.0007525
7,395.944,2.34568,2.9402,1.01294,0.42875,0.35068,0.32259,0.12706,2.1493,2.54219,1.008,0.000703,0.000703,0.000703
8,458.171,2.27081,2.70989,0.97867,0.46302,0.45944,0.41542,0.18508,1.99115,2.26238,1.00223,0.0006535,0.0006535,0.0006535
9,520.279,2.18539,2.49902,0.98308,0.59578,0.41639,0.42499,0.19834,1.86254,2.12961,0.98657,0.000604,0.000604,0.000604
10,583.106,2.15336,2.36205,0.97193,0.58816,0.44948,0.47933,0.21965,1.9089,2.10765,0.98539,0.0005545,0.0005545,0.0005545
11,653.19,2.03378,2.37246,1.0119,0.61999,0.41699,0.42366,0.20363,1.83711,1.94516,0.9736,0.000505,0.000505,0.000505
12,724.181,1.99667,2.18633,0.99739,0.65019,0.39855,0.41273,0.19581,1.82047,1.80322,0.96253,0.0004555,0.0004555,0.0004555
13,809.431,1.92678,2.02309,0.98025,0.72131,0.49911,0.51244,0.23286,1.85273,1.85353,0.96204,0.000406,0.000406,0.000406
14,879.916,1.89354,1.92742,0.9862,0.73404,0.59615,0.63949,0.30363,1.77185,1.64022,0.94932,0.0003565,0.0003565,0.0003565
15,956.548,1.87794,1.84908,0.97444,0.74907,0.56657,0.59716,0.29353,1.76437,1.64134,0.94743,0.000307,0.000307,0.000307
16,1025.71,1.82959,1.74835,0.97146,0.7587,0.63331,0.66323,0.31696,1.79622,1.61962,0.94829,0.0002575,0.0002575,0.0002575
17,1094.03,1.8217,1.72995,0.95985,0.8204,0.68918,0.74881,0.36615,1.72348,1.51965,0.94101,0.000208,0.000208,0.000208
18,1160.93,1.83237,1.70688,0.94947,0.7996,0.69036,0.74809,0.37136,1.71803,1.53988,0.94126,0.0001585,0.0001585,0.0001585
19,1224.56,1.79453,1.64952,0.9524,0.82569,0.67245,0.74386,0.36984,1.70953,1.50774,0.94302,0.000109,0.000109,0.000109
20,1286.16,1.79412,1.65333,0.95249,0.81873,0.68792,0.7511,0.36927,1.71616,1.48509,0.94344,5.95e-05,5.95e-05,5.95e-05
