epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.808,3.65787,9.42521,1.80044,0.00575,0.01357,0.00078,0.0004,2.59683,6.52665,1.19745,0.00032,0.00032,0.00032
2,282.6,2.76394,3.7834,1.2546,0.17548,0.04277,0.02973,0.00945,2.9337,20.8334,1.45142,0.000647463,0.000647463,0.000647463
3,418.283,2.54927,2.83751,1.17244,0.24403,0.10461,0.08429,0.03404,2.5854,4.37569,1.21756,0.00096476,0.00096476,0.00096476
4,2307.71,2.39065,2.43681,1.1054,0.50041,0.18846,0.19209,0.08198,2.09336,2.07645,1.04725,0.000965239,0.000965239,0.000965239
5,2401.64,2.35253,2.18707,1.10042,0.68263,0.49786,0.56364,0.22029,2.12579,1.63169,1.05189,0.000938772,0.000938772,0.000938772
6,3405.72,2.27335,1.98714,1.08598,0.7848,0.58587,0.6909,0.3005,1.8999,1.40572,0.99208,0.000905463,0.000905463,0.000905463
7,3497.75,2.21347,1.8739,1.05033,0.72439,0.65687,0.73247,0.31217,1.93252,1.33754,0.99708,0.000865839,0.000865839,0.000865839
8,3603.66,2.1292,1.73307,1.03443,0.7679,0.65525,0.72317,0.31258,1.86482,1.26969,0.98713,0.000820525,0.000820525,0.000820525
9,3707.44,2.10414,1.63275,1.04495,0.80926,0.69141,0.76307,0.33949,1.81304,1.19766,0.98099,0.000770234,0.000770234,0.000770234
10,3818.28,2.1367,1.61872,1.03005,0.86736,0.7343,0.79934,0.37667,1.77061,1.14352,0.96339,0.000715761,0.000715761,0.000715761
11,4070.32,2.0603,1.55772,1.03697,0.87793,0.76831,0.84571,0.37852,1.82533,1.1136,0.98225,0.000657963,0.000657963,0.000657963
12,4166.63,2.06681,1.52627,1.03112,0.90423,0.74788,0.85511,0.40437,1.75617,1.02282,0.95938,0.000597754,0.000597754,0.000597754
13,4273.76,2.03916,1.50101,1.0099,0.87355,0.76255,0.86126,0.42316,1.6893,1.03525,0.94739,0.000536081,0.000536081,0.000536081
14,4385.03,1.94748,1.40689,1.01006,0.91794,0.80737,0.87925,0.44088,1.67701,0.94899,0.94318,0.000473919,0.000473919,0.000473919
15,4495.74,1.89669,1.31758,0.98715,0.90106,0.78485,0.86283,0.41397,1.74916,1.01056,0.96221,0.000412246,0.000412246,0.000412246
16,4591.02,1.72546,1.08051,0.98658,0.92264,0.82222,0.89006,0.42828,1.71284,0.98577,0.94395,0.000352037,0.000352037,0.000352037
17,4688.61,1.65432,0.99958,0.98523,0.89445,0.80642,0.88717,0.44425,1.6596,0.94867,0.9337,0.000294239,0.000294239,0.000294239
18,4784.34,1.64917,0.96916,0.98127,0.91603,0.8181,0.87207,0.42757,1.6698,0.96128,0.93581,0.000239766,0.000239766,0.000239766
19,4877.35,1.65084,0.94295,0.96908,0.92137,0.84844,0.8926,0.4501,1.61649,0.90514,0.92533,0.000189475,0.000189475,0.000189475
20,4980.26,1.60861,0.92098,0.96524,0.92026,0.84054,0.9036,0.46348,1.61792,0.88016,0.92657,0.000144161,0.000144161,0.000144161
21,5076.69,1.59709,0.87267,0.95907,0.9136,0.84997,0.89823,0.45863,1.61439,0.85983,0.9245,0.000104537,0.000104537,0.000104537
22,5163.11,1.57645,0.8753,0.96011,0.9202,0.86642,0.91158,0.46579,1.59788,0.84187,0.92111,7.12282e-05,7.12282e-05,7.12282e-05
23,5252.74,1.57054,0.8917,0.94172,0.9113,0.86748,0.90905,0.46644,1.6022,0.84254,0.9221,4.47606e-05,4.47606e-05,4.47606e-05
24,5342.41,1.59285,0.88545,0.94954,0.91234,0.86184,0.90809,0.47015,1.58748,0.83702,0.91929,2.55513e-05,2.55513e-05,2.55513e-05
25,5433.89,1.5802,0.87162,0.94334,0.92141,0.85758,0.90603,0.47099,1.58321,0.83488,0.91819,1.39032e-05,1.39032e-05,1.39032e-05
