epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.851,3.42527,10.4629,1.55685,0.0126,0.03458,0.00172,0.00093,2.54151,6.37188,1.17199,0.00032,0.00032,0.00032
2,273.917,2.56276,3.45016,1.10595,0.25988,0.0876,0.04453,0.01672,2.19788,97.5024,1.10531,0.000617825,0.000617825,0.000617825
3,378.971,2.33889,2.2493,1.04413,0.56268,0.32962,0.34781,0.15066,1.99914,2.18396,1.02783,0.00088298,0.00088298,0.00088298
4,488.332,2.21622,1.88665,0.98417,0.62515,0.19509,0.16633,0.0867,1.90672,505.78,1.0001,0.0008515,0.0008515,0.0008515
5,589.183,2.10371,1.57806,1.00048,0.64787,0.61025,0.62738,0.23154,2.18328,1.62605,1.03539,0.000802,0.000802,0.000802
6,727.331,2.08916,1.4907,0.96772,0.85857,0.61874,0.70532,0.3263,1.89185,1.25495,0.99423,0.0007525,0.0007525,0.0007525
7,883.372,2.02159,1.37715,0.94828,0.81386,0.58752,0.64244,0.2844,1.94929,1.27369,0.99092,0.000703,0.000703,0.000703
8,1012.83,2.04203,1.28869,0.97034,0.85211,0.69549,0.75957,0.3468,1.81131,1.17652,0.96927,0.0006535,0.0006535,0.0006535
9,1154.94,1.92742,1.21984,0.94339,0.89996,0.76008,0.85579,0.40477,1.73366,1.04946,0.95679,0.000604,0.000604,0.000604
10,1297.85,1.86152,1.1379,0.92862,0.87156,0.82875,0.88892,0.42244,1.72614,0.97591,0.94786,0.0005545,0.0005545,0.0005545
11,1448.59,1.77863,1.07294,0.95629,0.90153,0.44784,0.46861,0.23657,1.71484,1.0017,0.94352,0.000505,0.000505,0.000505
12,1587.16,1.76857,1.02761,0.94788,0.90941,0.82715,0.87777,0.43579,1.67863,0.89547,0.94477,0.0004555,0.0004555,0.0004555
13,1722.53,1.74639,0.96952,0.94428,0.92443,0.80833,0.8878,0.42297,1.77568,0.94237,0.96312,0.000406,0.000406,0.000406
14,1853.95,1.67326,0.91252,0.95284,0.94393,0.74555,0.80173,0.40869,1.67426,0.8742,0.94205,0.0003565,0.0003565,0.0003565
15,1988.03,1.62951,0.86848,0.93049,0.91722,0.77071,0.80886,0.4034,1.68995,0.87156,0.9444,0.000307,0.000307,0.000307
16,2121.96,1.64524,0.87412,0.9208,0.9379,0.81207,0.84739,0.44357,1.62424,0.81032,0.93627,0.0002575,0.0002575,0.0002575
17,2256.11,1.61909,0.84914,0.93067,0.91901,0.81293,0.84798,0.43609,1.61766,0.82995,0.93063,0.000208,0.000208,0.000208
18,2395.67,1.58173,0.8233,0.92448,0.95096,0.74997,0.81193,0.41761,1.6272,0.82695,0.93322,0.0001585,0.0001585,0.0001585
19,2533.05,1.60008,0.82971,0.92203,0.92872,0.77708,0.82179,0.43248,1.56834,0.80219,0.92292,0.000109,0.000109,0.000109
20,2655.4,1.53979,0.76796,0.91716,0.94066,0.85432,0.9272,0.48557,1.57663,0.77665,0.92436,5.95e-05,5.95e-05,5.95e-05
